name,official_url,province,city,adapter_id,notes
北京协和医院,https://www.pumch.cn/,北京市,北京市,generic,示例种子-请以各医院官网为准
四川大学华西医院,https://www.wchscu.cn/,四川省,成都市,generic,示例种子
